id,title,description,availability,condition,price,link,image_link,brand,product_type,inventory
4-10hu,Yến Chưng Nhân Sâm (10 hũ),"Yến chưng nhân sâm là lựa chọn nổi bật cho nhóm khách hàng yêu thích hương vị bồi bổ, sang trọng. Sự kết hợp giữa yến sào và nhân sâm tạo nên sản phẩm có cảm giác cao cấp, phù hợp dùng làm quà tặng sức khỏe hoặc sử dụng khi cần bổ sung dưỡng chất.",in stock,new,350000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-nhan-sam-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078056/trungbay_xxooki.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
4-30hu,Yến Chưng Nhân Sâm (30 hũ),"Yến chưng nhân sâm là lựa chọn nổi bật cho nhóm khách hàng yêu thích hương vị bồi bổ, sang trọng. Sự kết hợp giữa yến sào và nhân sâm tạo nên sản phẩm có cảm giác cao cấp, phù hợp dùng làm quà tặng sức khỏe hoặc sử dụng khi cần bổ sung dưỡng chất.",in stock,new,900000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-nhan-sam-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078056/trungbay_xxooki.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
7-10hu,Yến Chưng Đường Phèn (10 hũ),"Yến chưng đường phèn là vị cơ bản, dễ dùng nhất trong các dòng yến chưng. Hương vị thanh, nhẹ, giữ được cảm giác tinh khiết của yến sào, phù hợp với khách hàng thích sản phẩm truyền thống, không quá nhiều nguyên liệu phụ nhưng vẫn chỉn chu và bổ dưỡng.",in stock,new,350000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-duong-phen-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078040/trungbay_e7oume.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
7-30hu,Yến Chưng Đường Phèn (30 hũ),"Yến chưng đường phèn là vị cơ bản, dễ dùng nhất trong các dòng yến chưng. Hương vị thanh, nhẹ, giữ được cảm giác tinh khiết của yến sào, phù hợp với khách hàng thích sản phẩm truyền thống, không quá nhiều nguyên liệu phụ nhưng vẫn chỉn chu và bổ dưỡng.",in stock,new,900000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-duong-phen-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078040/trungbay_e7oume.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
8-10hu,Yến Chưng Táo Đỏ (10 hũ),"Yến chưng táo đỏ có hương vị thanh ngọt, thơm dịu, là một trong những vị được nhiều khách hàng lựa chọn vì dễ uống và phù hợp nhiều đối tượng. Sản phẩm vừa mang cảm giác bổ dưỡng, vừa có màu sắc đẹp mắt, thích hợp dùng hằng ngày hoặc làm quà biếu.",in stock,new,350000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-tao-do-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078044/ChatGPT_Image_11_27_41_29_thg_6_2026_1_fzbsvk.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
8-30hu,Yến Chưng Táo Đỏ (30 hũ),"Yến chưng táo đỏ có hương vị thanh ngọt, thơm dịu, là một trong những vị được nhiều khách hàng lựa chọn vì dễ uống và phù hợp nhiều đối tượng. Sản phẩm vừa mang cảm giác bổ dưỡng, vừa có màu sắc đẹp mắt, thích hợp dùng hằng ngày hoặc làm quà biếu.",in stock,new,900000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-tao-do-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783078044/ChatGPT_Image_11_27_41_29_thg_6_2026_1_fzbsvk.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
9-10hu,Yến Chưng Hạt Sen (10 hũ),"Yến chưng hạt sen mang hương vị dịu, bùi, thanh, rất phù hợp với thói quen chăm sóc sức khỏe của gia đình Việt. Sản phẩm không chỉ dễ dùng mà còn có cảm giác ấm áp, gần gũi, thích hợp dùng thường xuyên hoặc biếu tặng người thân.",in stock,new,350000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-hat-sen-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783077993/trungbay_wwpzlz.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
9-30hu,Yến Chưng Hạt Sen (30 hũ),"Yến chưng hạt sen mang hương vị dịu, bùi, thanh, rất phù hợp với thói quen chăm sóc sức khỏe của gia đình Việt. Sản phẩm không chỉ dễ dùng mà còn có cảm giác ấm áp, gần gũi, thích hợp dùng thường xuyên hoặc biếu tặng người thân.",in stock,new,900000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-hat-sen-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783077993/trungbay_wwpzlz.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
10-10hu,Yến Chưng Hạt Chia (10 hũ),"Yến chưng hạt chia là lựa chọn hiện đại, thanh nhẹ, phù hợp với khách hàng yêu thích phong cách sống khỏe. Hạt chia tạo độ vui miệng khi dùng, kết hợp cùng yến sào giúp sản phẩm vừa tiện lợi, vừa có cảm giác tươi mới và dễ tiếp cận.",in stock,new,350000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-hat-chia-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783077899/trungbay_buc8gi.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
10-30hu,Yến Chưng Hạt Chia (30 hũ),"Yến chưng hạt chia là lựa chọn hiện đại, thanh nhẹ, phù hợp với khách hàng yêu thích phong cách sống khỏe. Hạt chia tạo độ vui miệng khi dùng, kết hợp cùng yến sào giúp sản phẩm vừa tiện lợi, vừa có cảm giác tươi mới và dễ tiếp cận.",in stock,new,900000 VND,https://kingnestyensao.com/chi-tiet-san-pham?slug=yen-chung-hat-chia-hu-70ml,"https://res.cloudinary.com/ln22f4im/image/upload/f_auto,q_auto,w_1200/v1783077899/trungbay_buc8gi.png",Kingnest - Yến sào Khánh Hoà,Yến chưng,100
